frase,intencao
"me fala a data de agora",ver_data
"que dia do mês é hoje?",ver_data
"qual a data completa de hoje?",ver_data
"quero saber a data atual",ver_data
"você sabe que dia é hoje?",ver_data
"data de hoje, por favor",ver_data
"informa a data de hoje",ver_data
"qual é o dia atual?",ver_data
"hoje é que dia?",ver_data
"me diz a data",ver_data
"fala o dia de hoje aí",ver_data
"você consegue me dizer a data?",ver_data
"qual o calendário de hoje?",ver_data
"qual é o dia no calendário?",ver_data
"pode mostrar a data de hoje?",ver_data
"que dia estamos hoje?",ver_data
"qual data estamos hoje?",ver_data
"Qual é a data hoje?",ver_data
"Me diga qual é a data hoje",ver_data
"Hoje é que data?",ver_data
"Pode me dizer a data de hoje?",ver_data
"Qual é o dia de hoje?",ver_data
"Me fala a data de hoje",ver_data
"Qual a data do dia de hoje?",ver_data
"Você sabe qual é a data de hoje?",ver_data
"Que data é essa?",ver_data
"Me mostre a data de hoje",ver_data
"Qual o dia de hoje no calendário?",ver_data
"Pode me informar a data completa de hoje?",ver_data
"Você pode me falar a data agora?",ver_data
"Hoje, qual é a data?",ver_data
"Me diga o calendário de hoje",ver_data
"Hoje, qual é a data completa?",ver_data
"Qual é a data do dia?",ver_data
"Você sabe que data é essa?",ver_data
"Me diga o dia de hoje",ver_data
"Que data é agora?",ver_data
"Hoje é que dia da semana?",ver_data
"Você pode me dar a data exata?",ver_data
"Qual é a data completa de hoje?",ver_data
"Me diz a data do calendário de hoje",ver_data
"pode abaixar o som?","diminuir_volume"
"tá alto demais, diminui","diminuir_volume"
"deixa o volume mais baixo","diminuir_volume"
"me incomoda esse volume alto, diminui","diminuir_volume"
"quero o som mais baixo","diminuir_volume"
"baixa o volume pra mim","diminuir_volume"
"reduz esse áudio","diminuir_volume"
"volume, por favor","diminuir_volume"
"tá muito alto, abaixa aí","diminuir_volume"
"coloca o volume no mínimo","diminuir_volume"
"pode diminuir o som?","diminuir_volume"
"volume mais alto","aumentar_volume"
"coloca o volume no máximo","aumentar_volume"
"quero o som mais alto","aumentar_volume"
"me ajuda e aumenta o volume","aumentar_volume"
"aumente o volume, por favor","aumentar_volume"
"suba o volume agora","aumentar_volume"
"aumenta o som dessa música","aumentar_volume"
"aumente o som do vídeo","aumentar_volume"
"pode aumentar o volume?","aumentar_volume"
"aumenta o som","aumentar_volume"
"quero mais volume","aumentar_volume"
"dá pra aumentar o volume?","aumentar_volume"
"tá muito baixo, aumenta o volume","aumentar_volume"
"aumenta um pouco mais o som","aumentar_volume"
"desce o volume um pouco","diminuir_volume"
"me ajuda a baixar o volume","diminuir_volume"
"diminui o som agora","diminuir_volume"
"diminui o volume por favor","diminuir_volume"
"sube o volume para mim","aumentar_volume"
"desce um pouco o volume","diminuir_volume"
"silencia o som", alternar_mudo  
"pode mutar o áudio?", alternar_mudo  
"tira o som", alternar_mudo  
"desliga o áudio", alternar_mudo  
"quero o dispositivo no mudo", alternar_mudo  
"deixa no silencioso", alternar_mudo  
"coloca o volume no mudo", alternar_mudo  
"silencia tudo", alternar_mudo  
"quero mutar", alternar_mudo  
"pode silenciar agora?", alternar_mudo  
"mute o som", alternar_mudo  
"bota no mudo", alternar_mudo  
"Ativa o som", alternar_mudo  
"tira do mudo", alternar_mudo  
"Liga o som", alternar_mudo  
"pode tirar do silencioso?", alternar_mudo  
"desmuta aí", alternar_mudo  
"Modo silencioso", alternar_mudo  
"desativa o som", alternar_mudo  
"reativa o som", alternar_mudo  
"liga o áudio", alternar_mudo  
"volume zero, por favor", alternar_mudo  
"Liga o som por favor", alternar_mudo  
"liga ou desliga o som", alternar_mudo  
"troca entre mudo e som", alternar_mudo  
"quero ativar ou silenciar o som", alternar_mudo  
"coloca ou tira do mudo", alternar_mudo  
"alternar o mudo", alternar_mudo  
"deixa no mudo ou volta com o som", alternar_mudo  
"coloca o som no silencioso ou liga", alternar_mudo  
"quero alternar o estado do som", alternar_mudo  
"interrompe o áudio ou ativa", alternar_mudo  
"silencia ou reativa o som", alternar_mudo  
"quero alternar entre som e silêncio", alternar_mudo  
"muda o estado do som", alternar_mudo  
"Ativa ou desativa o som", alternar_mudo  
"silêncio por favor, ou liga o som", alternar_mudo  
"liga o som se estiver mudo", alternar_mudo  
"desliga o som se estiver ativado", alternar_mudo  
"alternar modo mudo", alternar_mudo  
"ativa o som", alternar_mudo  
"coloca no mudo", alternar_mudo  
"pode deixar o som no mudo?", alternar_mudo  
"volta o som para o estado normal", alternar_mudo  
"quero o áudio no silencioso", alternar_mudo  
"recoloca o som", alternar_mudo  
"bota o som no modo mudo", alternar_mudo  
"muda para o mudo", alternar_mudo  
"coloca o áudio no silencioso", alternar_mudo  
"quero o som desligado", alternar_mudo  
"ativa o áudio", alternar_mudo  
"quero o som sem volume", alternar_mudo  
"faça o som voltar", alternar_mudo  
"alternar o áudio para o modo mudo", alternar_mudo  
"desative o áudio agora", alternar_mudo  
"coloca no modo de silêncio", alternar_mudo  
"tire o som agora", alternar_mudo    
"ajusta o brilho para menos", diminuir_brilho
"suba o brilho pra mim", aumentar_brilho
"pode deixar o brilho mais forte?", aumentar_brilho
"faz o brilho ficar mais baixo", diminuir_brilho
"eleva o brilho", aumentar_brilho
"meu brilho está muito alto, diminui", diminuir_brilho
"coloca o brilho no mínimo possível", diminuir_brilho
"dá pra aumentar o brilho?", aumentar_brilho
"bota o brilho no máximo", aumentar_brilho
"coloca o brilho mais baixo", diminuir_brilho
"reduza o brilho", diminuir_brilho
"ajusta o brilho para menos", diminuir_brilho
"me dá mais brilho", aumentar_brilho
"diminui o brilho aí", diminuir_brilho
"brilho mais forte, por favor", aumentar_brilho
"bota o brilho mais fraco", diminuir_brilho
"coloca o brilho no mais alto", aumentar_brilho
"ajusta o brilho pra mais", aumentar_brilho
"reduz o brilho", diminuir_brilho
"pode aumentar o brilho?", aumentar_brilho
"que o brilho mais alto", aumentar_brilho
"faz o brilho mais fraco", diminuir_brilho
"coloca o brilho no mínimo", diminuir_brilho
"intensifica o brilho", aumentar_brilho
"pode reduzir o brilho?", diminuir_brilho
"eleva a luminosidade", aumentar_brilho
"deixa o brilho mais fraco", diminuir_brilho
"deixa o brilho mais intenso", aumentar_brilho
"diminui o brilho", diminuir_brilho
"quero o brilho mais alto", aumentar_brilho
"coloca o brilho no máximo", aumentar_brilho
"pode aumentar o brilho?", aumentar_brilho
"quero o brilho no máximo", aumentar_brilho
"coloca o brilho no mínimo", diminuir_brilho
"coloca o brilho mais baixo", diminuir_brilho
"deixa o brilho mais forte", aumentar_brilho
"quero o brilho bem baixo", diminuir_brilho
"suba o brilho pra mim", aumentar_brilho
"aumenta o brilho", aumentar_brilho
"pode diminuir o brilho um pouco?", diminuir_brilho
"quero o brilho no máximo", aumentar_brilho
"coloca o brilho no mais alto", aumentar_brilho
"pode diminuir o brilho?", diminuir_brilho
"ajusta o brilho pra mais", aumentar_brilho
"meu brilho está baixo, aumenta", aumentar_brilho
"quero mais brilho", aumentar_brilho
"bota o brilho no máximo", aumentar_brilho
"coloca o brilho no mais baixo", diminuir_brilho
"meu brilho está baixo, aumenta", aumentar_brilho
"pode aumentar o brilho?", aumentar_brilho
"bota o brilho mais fraco", diminuir_brilho
"reduz a luminosidade", diminuir_brilho
"coloca o brilho no mínimo", diminuir_brilho
"faz o brilho mais fraco", diminuir_brilho
"ajusta o brilho para menos", diminuir_brilho
"coloca o brilho mais baixo", diminuir_brilho
"me dá mais brilho", aumentar_brilho
"coloca o brilho no máximo", aumentar_brilho
"deixa o brilho mais forte", aumentar_brilho
"pode aumentar o brilho?", aumentar_brilho
"quero usar o chat",abrir_chatgpt
"abre o chat pra mim",abrir_chatgpt
"pode abrir o chat?",abrir_chatgpt
"começa o chat",abrir_chatgpt
"abre a conversa do chat",abrir_chatgpt
"me coloca no chat agora",abrir_chatgpt
"quero acessar o chat",abrir_chatgpt
"abre o chat",abrir_chatgpt
"acessa o chat",abrir_chatgpt
"me dá acesso ao chat",abrir_chatgpt
"me mostra o chat",abrir_chatgpt
"me coloca no chat",abrir_chatgpt
"pode abrir a conversa do chat?",abrir_chatgpt
"quero falar no chat",abrir_chatgpt
"me leve para o chat",abrir_chatgpt
"vai para o chat",abrir_chatgpt
"abre o chat de novo",abrir_chatgpt
"começa o chat com o chatgpt",abrir_chatgpt
"entra no chat",abrir_chatgpt
"abre o chat para conversar",abrir_chatgpt
"pode iniciar o chat?",abrir_chatgpt
"pode me conectar ao chat?",abrir_chatgpt
"quero usar o chat agora",abrir_chatgpt
"abre o chat imediatamente",abrir_chatgpt
"me leva ao chat",abrir_chatgpt
"inicia o chat",abrir_chatgpt
"me coloca no chat rápido",abrir_chatgpt
"abre o chat de forma rápida",abrir_chatgpt
"quero entrar no chat",abrir_chatgpt
"pode abrir o chat para mim?",abrir_chatgpt
"me dê acesso ao chat agora",abrir_chatgpt
"quero falar no chat agora",abrir_chatgpt
"entra já no chat",abrir_chatgpt
"pode me conectar ao chat rápido?",abrir_chatgpt
"me coloca na conversa",abrir_chatgpt
"me dá acesso ao chat agora",abrir_chatgpt
"inicia a conversa do chat",abrir_chatgpt
"abre o chat sem demora",abrir_chatgpt
"abre o chat para mim agora",abrir_chatgpt
"começa a conversa",abrir_chatgpt
"abre a conversa",abrir_chatgpt
"me coloca direto no chat",abrir_chatgpt
"quero abrir o chat",abrir_chatgpt
"pode iniciar o chat para mim?",abrir_chatgpt
"abre o chat rapidamente",abrir_chatgpt
"Coloca uma música relaxante",tocar_lofi
"me coloca numa vibe animada",tocar_musica_animada
"quero ouvir música tranquila",tocar_lofi
"me coloca numa vibe tranquila",tocar_lofi
"bota uma música para animar",tocar_musica_animada
"toca uma música relaxante",tocar_lofi
"coloca um som de lofi",tocar_lofi
"coloca uma música tranquila",tocar_lofi
"quero ouvir algo para animar",tocar_musica_animada
"toca uma música com ritmo",tocar_musica_animada
"quero ouvir lofi",tocar_lofi
"toca uma música agitada",tocar_musica_animada
"me dá uma música relaxante",tocar_lofi
"Toca uma música divertida",tocar_musica_animada
"Coloca uma música de fundo tranquila",tocar_lofi
"me coloca uma música animada",tocar_musica_animada
"me coloca numa vibe calma",tocar_lofi
"toca música suave",tocar_lofi
"pode tocar música animada?",tocar_musica_animada
"bota uma música animada",tocar_musica_animada
"coloca uma música animada e energética",tocar_musica_animada
"coloca uma música relaxante",tocar_lofi
"Toca uma música agitada",tocar_musica_animada
"me coloca numa vibe animada",tocar_musica_animada
"bota um lofi aí",tocar_lofi
"toca uma música relaxante",tocar_lofi
"pode colocar uma música animada e alegre?",tocar_musica_animada
"coloca uma música alegre",tocar_musica_animada
"quero música para dançar",tocar_musica_animada
"toca algo calmo",tocar_lofi
"me toca uma música animada",tocar_musica_animada
"me coloca uma música suave",tocar_lofi
"coloca uma música de lofi tranquila",tocar_lofi
"toca música energética",tocar_musica_animada
"coloca um som calmo",tocar_lofi
"quero ouvir uma música animada",tocar_musica_animada
"me coloca uma música relaxante",tocar_lofi
"coloca uma música alegre",tocar_musica_animada
"me coloca numa vibe relaxante",tocar_lofi
"toca uma música calma",tocar_lofi
"toca música relaxante de lofi",tocar_lofi
"coloca uma música mais divertida",tocar_musica_animada
"me coloca numa vibe animada",tocar_musica_animada
"me toca uma música tranquila",tocar_lofi
"coloca uma música relaxante",tocar_lofi
"pode tocar uma música mais alegre?",tocar_musica_animada
"coloca uma música de fundo tranquila",tocar_lofi
"bota uma música para animar o dia",tocar_musica_animada
"toca uma música relaxante",tocar_lofi
"bota uma música animada",tocar_musica_animada
"coloca uma música mais divertida",tocar_musica_animada
"coloca uma música de lofi tranquila",tocar_lofi
"Me ajuda a iniciar o cronômetro",abrir_cronometro
"comece o cronômetro",abrir_cronometro
"abre o cronômetro para mim",abrir_cronometro
"quero iniciar o cronômetro",abrir_cronometro
"bota o cronômetro para funcionar",abrir_cronometro
"Começa a contagem do cronômetro",abrir_cronometro
"abre o cronômetro aí",abrir_cronometro
"coloca o cronômetro para contar",abrir_cronometro
"pode iniciar o cronômetro agora?",abrir_cronometro
"abre o cronômetro",abrir_cronometro
"começa o cronômetro",abrir_cronometro
"me coloca no cronômetro",abrir_cronometro
"coloca o cronômetro para funcionar",abrir_cronometro
"me dá o cronômetro para começar",abrir_cronometro
"Poderia colocar o cronômetro no ar?",abrir_cronometro
"comece o cronômetro",abrir_cronometro
"inicia o cronômetro",abrir_cronometro
"pode colocar o cronômetro para contar o tempo?",abrir_cronometro
"pode abrir o cronômetro?",abrir_cronometro
"abre o cronômetro para mim",abrir_cronometro
"bota o cronômetro para rodar",abrir_cronometro
"coloca o cronômetro para contar",abrir_cronometro
"começa o tempo",abrir_cronometro
"inicia a contagem do cronômetro agora",abrir_cronometro
"coloca o cronômetro para funcionar",abrir_cronometro
"abre o temporizador",abrir_cronometro
"me ajuda a iniciar o cronômetro",abrir_cronometro
"dá pra colocar o cronômetro em andamento?",abrir_cronometro
"começa a contagem do cronômetro",abrir_cronometro
"coloca o cronômetro para funcionar",abrir_cronometro
"me dá o cronômetro para começar",abrir_cronometro
"comece o cronômetro",abrir_cronometro
"pode iniciar o cronômetro?",abrir_cronometro
"abre o cronômetro para mim",abrir_cronometro
"coloca o cronômetro para funcionar",abrir_cronometro
"Me traduza isso",traduzir_texto
"como fica isso em português?",traduzir_texto
"Poderia traduzir isso para mim?",traduzir_texto
"me mostra a tradução",traduzir_texto
"me ajude a traduzir",traduzir_texto
"traduz esse texto",traduzir_texto
"quero a tradução desse texto",traduzir_texto
"me fale a tradução",traduzir_texto
"como traduz isso?",traduzir_texto
"me diga a tradução de tudo isso",traduzir_texto
"traduz esse parágrafo",traduzir_texto
"traduz para o português",traduzir_texto
"me traduz isso para o português",traduzir_texto
"como fica isso em inglês?",traduzir_texto
"me diga a tradução dessa frase",traduzir_texto
"pode me ajudar a traduzir?",traduzir_texto
"me fala como é isso em outro idioma",traduzir_texto
"pode traduzir esse trecho?",traduzir_texto
"me dá a tradução disso",traduzir_texto
"pode traduzir isso pra mim?",traduzir_texto
"me traduza isso",traduzir_texto
"traduz para o português",traduzir_texto
"traduza isso para mim, por favor",traduzir_texto
"me coloca a tradução",traduzir_texto
"qual é a tradução disso?",traduzir_texto
"me mostra a tradução disso",traduzir_texto
"me traduz esse texto",traduzir_texto
"como fica isso em outro idioma?",traduzir_texto
"traduza esse texto",traduzir_texto
"pode traduzir isso para mim?",traduzir_texto
"traduz esse texto para mim",traduzir_texto
"me dá a tradução desse trecho",traduzir_texto
"qual a tradução de tudo isso?",traduzir_texto
"pode me mostrar a tradução?",traduzir_texto
"traduza esse parágrafo",traduzir_texto
"me diga o que significa isso",traduzir_texto
"Como traduzir isso?",traduzir_texto
"Você pode me ajudar com a tradução?",traduzir_texto
"Me explique o significado disso",traduzir_texto
"Qual é a tradução dessa palavra?",traduzir_texto
"Me diga como fica em outro idioma",traduzir_texto
"Você pode me passar a tradução?",traduzir_texto
"Qual a tradução dessa frase?",traduzir_texto
"Como seria isso em outro idioma?",traduzir_texto
"Pode traduzir isso de novo?",traduzir_texto
"Me traduz isso para outro",traduzir_texto
"me mostre receitas de bebida",ver_receitas_bebida
"quero ver receitas de drinks",ver_receitas_bebida
"me dê uma receita de drink",ver_receitas_bebida
"pode me mostrar receitas de bebida?",ver_receitas_bebida
"quero aprender uma receita de drink",ver_receitas_bebida
"me ensina a fazer um drink",ver_receitas_bebida
"me dá uma receita de bebida",ver_receitas_bebida
"pode me passar uma receita de drink?",ver_receitas_bebida
"me fala uma receita de bebida",ver_receitas_bebida
"quero ver como fazer um drink",ver_receitas_bebida
"me ensine a fazer uma bebida",ver_receitas_bebida
"pode me dar uma receita de drink?",ver_receitas_bebida
"me mostre como fazer um drink",ver_receitas_bebida
"me fala uma receita de drink",ver_receitas_bebida
"me dá a receita de uma bebida",ver_receitas_bebida
"quero aprender como fazer uma bebida",ver_receitas_bebida
"pode me ensinar a fazer um drink?",ver_receitas_bebida
"me mostre como preparar uma bebida",ver_receitas_bebida
"me passe uma receita de drink",ver_receitas_bebida
"me fale como preparar um drink",ver_receitas_bebida
"quero saber como fazer uma bebida",ver_receitas_bebida
"me ensina como fazer um drink",ver_receitas_bebida
"pode me mostrar como fazer uma bebida?",ver_receitas_bebida
"me mostre uma receita de drink fácil",ver_receitas_bebida
"qual a cotação atual?",ver_cotacoes
"me diga a cotação de hoje",ver_cotacoes
"qual é a cotação agora?",ver_cotacoes
"me mostra as cotações atuais",ver_cotacoes
"pode me informar a cotação atual?",ver_cotacoes
"quero saber a cotação de hoje",ver_cotacoes
"qual a cotação do momento?",ver_cotacoes
"me fale as cotações atuais",ver_cotacoes
"me diga a cotação mais recente",ver_cotacoes
"qual o valor atual da cotação?",ver_cotacoes
"quais são as cotações atuais?",ver_cotacoes
"me mostre a cotação do dia",ver_cotacoes
"pode me passar a cotação atual?",ver_cotacoes
"como está a cotação agora?",ver_cotacoes
"me informe as cotações do momento",ver_cotacoes
"me fala o valor da cotação de hoje",ver_cotacoes
"qual a cotação atual do dólar?",ver_cotacoes
"quero saber o preço de hoje",ver_cotacoes
"qual o preço atual?",ver_cotacoes
"me dá a cotação atual",ver_cotacoes
"pode me dar as cotações do dia?",ver_cotacoes
"qual a cotação agora?",ver_cotacoes
"me passe as cotações de hoje",ver_cotacoes
"qual a cotação do dólar hoje?",ver_cotacoes
"me mostre as cotações do mercado",ver_cotacoes
"me mostre imagens de gatos",ver_imagens_gato
"quero ver fotos de gatos",ver_imagens_gato
"me mostre algumas imagens de gato",ver_imagens_gato
"pode me mostrar fotos de gatos?",ver_imagens_gato
"quero ver imagens fofas de gato",ver_imagens_gato
"me dá algumas imagens de gatos",ver_imagens_gato
"me mostra fotos de gatos fofos",ver_imagens_gato
"pode me mostrar imagens de gato agora?",ver_imagens_gato
"me mostra algumas fotos de gatos",ver_imagens_gato
"quero ver imagens de gatos na internet",ver_imagens_gato
"me fale onde encontrar fotos de gatos",ver_imagens_gato
"me mostre fotos de gatos fofinhos",ver_imagens_gato
"me mostre fotos de gatos brincando",ver_imagens_gato
"quero ver imagens de gatos bonitinhos",ver_imagens_gato
"me mostre imagens de gatos em casa",ver_imagens_gato
"quero ver fotos de gatos engraçados",ver_imagens_gato
"pode procurar imagens de gatos para mim?",ver_imagens_gato
"quero ver algumas fotos de gatos",ver_imagens_gato
"me mostre imagens de gatinhos",ver_imagens_gato
"pode me mostrar fotos de gatinhos?",ver_imagens_gato
"quero imagens de gatos para ver",ver_imagens_gato
"me dá imagens de gatos fofos",ver_imagens_gato
"me mostre fotos de gatos na internet",ver_imagens_gato
"quero ver fotos engraçadas de gatos",ver_imagens_gato
"pode me mostrar fotos de gatos brincando?",ver_imagens_gato
"me dá fotos de gatos fofos na internet",ver_imagens_gato
"me faça um lembrete",fazer_lembrete
"crie um lembrete para mim",fazer_lembrete
"quero um lembrete",fazer_lembrete
"adiciona um lembrete",fazer_lembrete
"me lembre de algo",fazer_lembrete
"me avise sobre isso depois",fazer_lembrete
"pode criar um lembrete para mim?",fazer_lembrete
"coloca um lembrete",fazer_lembrete
"me ajuda a fazer um lembrete",fazer_lembrete
"cria um lembrete para mim",fazer_lembrete
"adiciona um aviso",fazer_lembrete
"me avise sobre isso",fazer_lembrete
"me lembre disso mais tarde",fazer_lembrete
"cria um aviso para mim",fazer_lembrete
"me faz um lembrete sobre isso",fazer_lembrete
"pode me lembrar disso mais tarde?",fazer_lembrete
"coloca um aviso para mim",fazer_lembrete
"me lembra disso em uma hora",fazer_lembrete
"cria um lembrete de tarefa",fazer_lembrete
"me avise quando for a hora",fazer_lembrete
"adiciona um lembrete de compromisso",fazer_lembrete
"me lembra disso amanhã",fazer_lembrete
"me faz um lembrete de reunião",fazer_lembrete
"coloca um lembrete de tarefa para mim",fazer_lembrete
"me avise sobre o compromisso",fazer_lembrete
"qual é o clima agora?",ver_clima
"me diga como está o tempo",ver_clima
"qual o clima de hoje?",ver_clima
"pode me informar o clima?",ver_clima
"como está o tempo agora?",ver_clima
"qual a previsão do tempo?",ver_clima
"me fala o clima atual",ver_clima
"como está o tempo hoje?",ver_clima
"qual o tempo agora?",ver_clima
"me diga o clima de hoje",ver_clima
"pode me dar a previsão do tempo?",ver_clima
"como está o clima agora?",ver_clima
"me mostra a previsão do tempo",ver_clima
"qual o clima para hoje?",ver_clima
"me informa como está o tempo",ver_clima
"como está o clima nesse momento?",ver_clima
"qual a temperatura agora?",ver_clima
"me fale a previsão do tempo",ver_clima
"qual o tempo por aqui?",ver_clima
"me mostre a previsão do tempo de hoje",ver_clima
"pode me informar como está o clima?",ver_clima
"me diga o tempo atual",ver_clima
"qual é a previsão do tempo para hoje?",ver_clima
"me avise como está o clima",ver_clima
"quero saber o clima atual",ver_clima
"jogue uma moeda",lançar_moeda
"lança uma moeda",lançar_moeda
"cara ou coroa",lançar_moeda
"me diga cara ou coroa",lançar_moeda
"joga cara ou coroa",lançar_moeda
"me fala se caiu cara ou coroa",lançar_moeda
"faça um lançamento de moeda",lançar_moeda
"joga uma moeda para mim",lançar_moeda
"qual vai ser? cara ou coroa?",lançar_moeda
"lançar moeda",lançar_moeda
"me dê um resultado de cara ou coroa",lançar_moeda
"quero jogar cara ou coroa",lançar_moeda
"faça o lançamento de cara ou coroa",lançar_moeda
"me diz qual é o resultado do lançamento",lançar_moeda
"decida com cara ou coroa",lançar_moeda
"jogue a moeda para mim",lançar_moeda
"me diga o resultado de cara ou coroa",lançar_moeda
"tire a sorte com cara ou coroa",lançar_moeda
"me avise se foi cara ou coroa",lançar_moeda
"faça o lançamento da moeda",lançar_moeda
"joga a moeda para decidir",lançar_moeda
"escolha entre cara ou coroa",lançar_moeda
"faça o sorteio com cara ou coroa",lançar_moeda
"me mostre o resultado da moeda",lançar_moeda
"obrigado",agradecer
"muito obrigado",agradecer
"valeu",agradecer
"agradeço",agradecer
"obrigado pela ajuda",agradecer
"muito obrigado pela ajuda",agradecer
"grato",agradecer
"ficou ótimo, obrigado",agradecer
"agradeço muito",agradecer
"obrigado por isso",agradecer
"muito grato",agradecer
"valeu mesmo",agradecer
"te agradeço",agradecer
"grato pela ajuda",agradecer
"obrigado por tudo",agradecer
"obrigado pela resposta",agradecer
"muito obrigado por isso",agradecer
"obrigado pelo apoio",agradecer
"valeu pela ajuda",agradecer
"agradeço sua assistência",agradecer
"muito grato pela ajuda",agradecer
"obrigado por me ajudar",agradecer
"grato por isso",agradecer
"te agradeço pela ajuda",agradecer
"muito obrigado pela resposta",agradecer
"como você está?",cumprimento
"como você vai?",cumprimento
"tudo bem com você?",cumprimento
"e aí, como vai?",cumprimento
"como você está se sentindo?",cumprimento
"está tudo bem com você?",cumprimento
"como está o assistente?",cumprimento
"como você está hoje?",cumprimento
"tudo certo por aí?",cumprimento
"como você está se saindo?",cumprimento
"como anda a sua programação?",cumprimento
"como está o seu dia?",cumprimento
"está tudo bem por aí?",cumprimento
"como você está neste momento?",cumprimento
"tudo tranquilo com você?",cumprimento
"como vai a vida?",cumprimento
"e aí, como está o seu dia?",cumprimento
"como você tem se sentido?",cumprimento
"como anda o assistente?",cumprimento
"tudo bem por aí?",cumprimento
"como você está hoje de manhã?",cumprimento
"como você está agora?",cumprimento
"como você tem passado?",cumprimento
"e aí, como está o clima aí?",cumprimento
"como você está se comportando?",cumprimento
"me dê uma frase motivacional",ver_frase_motivacional
"quero ouvir uma frase inspiradora",ver_frase_motivacional
"diga uma frase que me inspire",ver_frase_motivacional
"me mostra uma frase de motivação",ver_frase_motivacional
"quero uma mensagem motivacional",ver_frase_motivacional
"me fale algo que me motive",ver_frase_motivacional
"preciso de uma frase de inspiração",ver_frase_motivacional
"diga algo que me inspire",ver_frase_motivacional
"me dê uma mensagem inspiradora",ver_frase_motivacional
"quero ouvir uma frase de ânimo",ver_frase_motivacional
"me diga uma frase positiva",ver_frase_motivacional
"me mostra algo motivacional",ver_frase_motivacional
"me envie uma frase que me levante",ver_frase_motivacional
"quero uma frase de força",ver_frase_motivacional
"me passe uma mensagem de motivação",ver_frase_motivacional
"me inspire com uma frase",ver_frase_motivacional
"me diga algo que me anime",ver_frase_motivacional
"quero ouvir algo positivo",ver_frase_motivacional
"diga uma frase para me motivar",ver_frase_motivacional
"preciso de uma palavra de incentivo",ver_frase_motivacional
"me fala uma frase que me dê forças",ver_frase_motivacional
"me mostre uma frase de esperança",ver_frase_motivacional
"me inspire com palavras",ver_frase_motivacional
"diga algo que me faça seguir em frente",ver_frase_motivacional
"quero ouvir uma frase de superação",ver_frase_motivacional
"me conte uma curiosidade",ver_curiosidade
"quero saber uma curiosidade",ver_curiosidade
"me diga uma curiosidade interessante",ver_curiosidade
"me fale uma curiosidade",ver_curiosidade
"me conta algo curioso",ver_curiosidade
"você pode me contar uma curiosidade?",ver_curiosidade
"quero aprender algo curioso",ver_curiosidade
"me mostre uma curiosidade",ver_curiosidade
"tem alguma curiosidade para me contar?",ver_curiosidade
"me fale algo interessante",ver_curiosidade
"me conte algo fascinante",ver_curiosidade
"me dá uma curiosidade legal",ver_curiosidade
"quero saber algo curioso",ver_curiosidade
"diga uma curiosidade para mim",ver_curiosidade
"me conte algo novo",ver_curiosidade
"me fale uma informação curiosa",ver_curiosidade
"quero ouvir uma curiosidade",ver_curiosidade
"me diz uma curiosidade bacana",ver_curiosidade
"você tem alguma curiosidade interessante?",ver_curiosidade
"me passe uma curiosidade",ver_curiosidade
"me dê uma curiosidade para aprender",ver_curiosidade
"me conta uma curiosidade engraçada",ver_curiosidade
"quero saber uma curiosidade nova",ver_curiosidade
"me fala uma curiosidade que eu não saiba",ver_curiosidade
"tem algo curioso que você pode me contar?",ver_curiosidade
"me conte uma piada",ver_piada
"quero ouvir uma piada",ver_piada
"me fale uma piada",ver_piada
"me faça rir com uma piada",ver_piada
"conta uma piada pra mim",ver_piada
"me diga uma piada",ver_piada
